user,views,link,followers,total_likes,following,likes,comments,shares,duration
andreariquena,3725,https://www.tiktok.com/@andreariquena/video/7135218773388299566,168.6K,8.9M,2562,1028,23,5,00:02/00:10
andreariquena,5751,https://www.tiktok.com/@andreariquena/video/7134820737319259435,168.6K,8.9M,2562,1735,19,7,00:02/00:38
andreariquena,1183,https://www.tiktok.com/@andreariquena/video/7134418605910887726,168.6K,8.9M,2562,289,17,2,00:03/00:09
andreariquena,2455,https://www.tiktok.com/@andreariquena/video/7134064112216083754,168.6K,8.9M,2562,610,7,4,00:02/00:12
andreariquena,7742,https://www.tiktok.com/@andreariquena/video/7133709293588892974,168.6K,8.9M,2562,1853,39,9,00:02/00:08
andreariquena,3785,https://www.tiktok.com/@andreariquena/video/7133378404006645034,168.6K,8.9M,2562,903,15,4,00:02/00:09
andreariquena,12.4K,https://www.tiktok.com/@andreariquena/video/7133337879320825131,168.6K,8.9M,2562,2930,16,11,00:02/00:07
andreariquena,4159,https://www.tiktok.com/@andreariquena/video/7133000040804650283,168.6K,8.9M,2562,948,15,3,00:02/00:12
andreariquena,2796,https://www.tiktok.com/@andreariquena/video/7132959648545705262,168.6K,8.9M,2562,712,53,4,00:02/00:15
andreariquena,6392,https://www.tiktok.com/@andreariquena/video/7132593506098351406,168.6K,8.9M,2562,1601,25,5,00:02/00:13
andreariquena,10.1K,https://www.tiktok.com/@andreariquena/video/7132224676205464874,168.6K,8.9M,2562,2513,32,7,00:02/00:17
andreariquena,11.6K,https://www.tiktok.com/@andreariquena/video/7131818074856099118,168.6K,8.9M,2562,3053,43,16,00:02/00:13
andreariquena,3106,https://www.tiktok.com/@andreariquena/video/7131438641402006830,168.6K,8.9M,2562,565,4,2,00:01/00:07
andreariquena,6954,https://www.tiktok.com/@andreariquena/video/7131107392393104683,168.6K,8.9M,2562,1712,38,7,00:02/00:16
andreariquena,4610,https://www.tiktok.com/@andreariquena/video/7130740766820863275,168.6K,8.9M,2562,988,17,1,00:02/00:11
andreariquena,4445,https://www.tiktok.com/@andreariquena/video/7130671047447399726,168.6K,8.9M,2562,1017,10,6,00:02/00:18
andreariquena,7653,https://www.tiktok.com/@andreariquena/video/7130403447232580910,168.6K,8.9M,2562,1638,9,7,00:02/00:09
andreariquena,3241,https://www.tiktok.com/@andreariquena/video/7130368272247033131,168.6K,8.9M,2562,737,9,6,00:02/00:07
andreariquena,3085,https://www.tiktok.com/@andreariquena/video/7130006080104434986,168.6K,8.9M,2562,704,15,5,00:02/00:14
andreariquena,4987,https://www.tiktok.com/@andreariquena/video/7129637197312953643,168.6K,8.9M,2562,1102,9,Share,00:02/00:06
andreariquena,4526,https://www.tiktok.com/@andreariquena/video/7129272848203648302,168.6K,8.9M,2562,985,33,5,00:02/00:55
andreariquena,23.2K,https://www.tiktok.com/@andreariquena/video/7128846886299094314,168.6K,8.9M,2562,5468,24,15,00:02/00:10
andreariquena,12.9K,https://www.tiktok.com/@andreariquena/video/7128513880183196974,168.6K,8.9M,2562,2602,20,5,00:02/00:22
andreariquena,6278,https://www.tiktok.com/@andreariquena/video/7128139649016499499,168.6K,8.9M,2562,1500,29,5,00:02/00:14
andreariquena,8411,https://www.tiktok.com/@andreariquena/video/7127768459416538410,168.6K,8.9M,2562,2132,45,11,00:02/00:28
andreariquena,3840,https://www.tiktok.com/@andreariquena/video/7127398163438144814,168.6K,8.9M,2562,742,16,2,00:02/00:17
andreariquena,6573,https://www.tiktok.com/@andreariquena/video/7127028994326973742,168.6K,8.9M,2562,1530,30,5,00:02/00:19
andreariquena,7361,https://www.tiktok.com/@andreariquena/video/7126664832576900398,168.6K,8.9M,2562,1896,158,12,00:02/01:36
andreariquena,9237,https://www.tiktok.com/@andreariquena/video/7126226646180531502,168.6K,8.9M,2562,2094,13,8,00:02/00:29
andreariquena,5380,https://www.tiktok.com/@andreariquena/video/7125915307692264750,168.6K,8.9M,2562,1236,14,2,00:02/00:19
andreariquena,14.3K,https://www.tiktok.com/@andreariquena/video/7125541495217720618,168.6K,8.9M,2562,3372,40,7,00:02/00:13
andreariquena,2618,https://www.tiktok.com/@andreariquena/video/7125170323020057902,168.6K,8.9M,2562,523,6,1,00:03/00:16
andreariquena,4970,https://www.tiktok.com/@andreariquena/video/7124803559455051051,168.6K,8.9M,2562,1297,20,13,00:01/00:29
andreariquena,11.2K,https://www.tiktok.com/@andreariquena/video/7124429359620082990,168.6K,8.9M,2562,2663,72,8,00:02/00:09
andreariquena,5937,https://www.tiktok.com/@andreariquena/video/7124039892400737578,168.6K,8.9M,2562,1426,17,3,00:03/00:15
andreariquena,16.5K,https://www.tiktok.com/@andreariquena/video/7123628198004559150,168.6K,8.9M,2562,2723,12,3,00:02/00:25
andreariquena,8208,https://www.tiktok.com/@andreariquena/video/7123320365492817198,168.6K,8.9M,2562,1726,11,5,00:02/00:08
andreariquena,4316,https://www.tiktok.com/@andreariquena/video/7122948379918798126,168.6K,8.9M,2562,1202,78,29,00:01/00:48
andreariquena,9716,https://www.tiktok.com/@andreariquena/video/7122572175881653547,168.6K,8.9M,2562,2343,66,6,00:02/00:05
andreariquena,3090,https://www.tiktok.com/@andreariquena/video/7122237448612236590,168.6K,8.9M,2562,747,49,6,00:01/00:23
andreariquena,4005,https://www.tiktok.com/@andreariquena/video/7122205688159554862,168.6K,8.9M,2562,915,16,7,00:02/00:24
andreariquena,3848,https://www.tiktok.com/@andreariquena/video/7121868383145987374,168.6K,8.9M,2562,697,19,8,00:02/00:06
andreariquena,6733,https://www.tiktok.com/@andreariquena/video/7121830018858143018,168.6K,8.9M,2562,1345,17,5,00:02/00:16
andreariquena,1788,https://www.tiktok.com/@andreariquena/video/7121490680521755947,168.6K,8.9M,2562,272,2,Share,00:02/00:13
andreariquena,9084,https://www.tiktok.com/@andreariquena/video/7120719364369861934,168.6K,8.9M,2562,1865,13,1,00:02/00:25
andreariquena,11.4K,https://www.tiktok.com/@andreariquena/video/7120344286008331563,168.6K,8.9M,2562,3352,67,32,00:02/00:41
andreariquena,18.5K,https://www.tiktok.com/@andreariquena/video/7119974859014278446,168.6K,8.9M,2562,5132,42,14,00:02/00:13
andreariquena,37.5K,https://www.tiktok.com/@andreariquena/video/7119603630629489962,168.6K,8.9M,2562,8767,29,21,00:01/00:13
andreariquena,81.8K,https://www.tiktok.com/@andreariquena/video/7119231791726185770,168.6K,8.9M,2562,21K,110,101,00:02/00:17
andreariquena,33.6K,https://www.tiktok.com/@andreariquena/video/7118883365268229418,168.6K,8.9M,2562,7403,68,20,00:02/00:19
andreariquena,30.7K,https://www.tiktok.com/@andreariquena/video/7118500713323318570,168.6K,8.9M,2562,7136,63,24,00:02/00:07
andreariquena,104.4K,https://www.tiktok.com/@andreariquena/video/7118119036675837230,168.6K,8.9M,2562,26.2K,188,123,00:02/00:13
andreariquena,16.9K,https://www.tiktok.com/@andreariquena/video/7117747682097040683,168.6K,8.9M,2562,3753,57,11,00:03/00:14
andreariquena,9954,https://www.tiktok.com/@andreariquena/video/7117375864609721642,168.6K,8.9M,2562,1483,8,9,00:02/00:09
andreariquena,17K,https://www.tiktok.com/@andreariquena/video/7117059958935538990,168.6K,8.9M,2562,3108,22,4,00:02/00:07
andreariquena,4069,https://www.tiktok.com/@andreariquena/video/7117005352977108266,168.6K,8.9M,2562,535,9,2,00:02/00:09
andreariquena,7240,https://www.tiktok.com/@andreariquena/video/7116635948372462894,168.6K,8.9M,2562,1543,10,6,00:02/00:12
andreariquena,15.3K,https://www.tiktok.com/@andreariquena/video/7116322992723856683,168.6K,8.9M,2562,2265,41,9,00:02/00:09
andreariquena,10.2K,https://www.tiktok.com/@andreariquena/video/7115830786607189294,168.6K,8.9M,2562,1915,27,6,00:02/00:08
andreariquena,9109,https://www.tiktok.com/@andreariquena/video/7115519931751468334,168.6K,8.9M,2562,1882,38,9,00:01/00:08
andreariquena,5753,https://www.tiktok.com/@andreariquena/video/7115150584327605550,168.6K,8.9M,2562,1090,12,3,00:02/00:08
andreariquena,284.9K,https://www.tiktok.com/@andreariquena/video/7114779866532400430,168.6K,8.9M,2562,58.1K,170,261,00:02/00:49
