VARIABLE,EXPLANATION
kinderage,age in months at kindergarten
ses,continuous socioeconomic status measure (index)
books,no. of books in child's home
wicFk,WIC welfare recipient in fall of kindergarten
black,child is black
hispanic,child is hispanic
asian,child is asian
other,child is other non-white race
female,child is female
teenmom,teenager at FIRST BIRTH of child
thirtymom,age 30 or later at FIRST BIRTH of child
bweight,birthweight in oz
zmathFk,standardized math score in fall of kindergarten
zreadFk,standardized reading score in fall of kindergarten
zmath8,standardized math score in eighth grade
zread8,standardized reading score in eighth grade
